"id";"average_length_inches";"average_weight_inches";"habitat";"ph_of_water";"color";"Gender";"life_span";"acidity"
141;11.76;6.98;"lakes";6.5;"Calico";"TRUE";1.3;"low ph"
142;2.06;6.99;"rivers";7.5;"White";"FALSE";14.7;"high ph"
143;3.84;14.7;"lakes";7.4;"White";"FALSE";4.2;"intermediate ph"
144;7.72;16.67;"rivers";7.8;"Red_and_White_Bi_Color";"TRUE";27.8;"high ph"
145;12.29;9.68;"ponds";7.1;"Black_and_Orange";"FALSE";26.2;"intermediate ph"
146;6.19;3.64;"ponds";6.0;"Yellow";"FALSE";4.1;"really low ph"
147;4.49;4.54;"lakes";6.4;"Red_and_White_Bi_Color";"TRUE";15.3;"really low ph"
148;19.19;4.34;"slowmovingwaters";7.2;"Green_and_Chocolate";"TRUE";16.7;"intermediate ph"
149;13.33;5.12;"rivers";7.8;"Orange";"TRUE";12.8;"high ph"
150;9.57;16.07;"rivers";6.7;"Reddish_Orange";"TRUE";20.2;"low ph"
151;6.61;11.51;"slowmovingwaters";7.9;"Reddish_Orange";"TRUE";13.8;"high ph"
152;10.81;7.21;"ponds";7.4;"White";"TRUE";22.0;"intermediate ph"
153;9.1;10.47;"idlewater";7.3;"Green_and_Chocolate";"TRUE";23.8;"intermediate ph"
154;14.77;11.87;"idlewater";6.4;"Orange";"TRUE";21.6;"really low ph"
155;11.32;2.24;"rivers";6.3;"Yellow";"TRUE";14.2;"really low ph"
156;8.39;5.8;"idlewater";7.1;"Black_and_Orange";"TRUE";2.8;"intermediate ph"
157;18.28;9.49;"lakes";7.1;"Yellow";"TRUE";27.5;"intermediate ph"
158;3.71;3.36;"ponds";6.1;"Red_and_Silver";"FALSE";26.3;"really low ph"
159;16.01;4.24;"idlewater";7.3;"White";"FALSE";18.0;"intermediate ph"
160;12.19;13.74;"idlewater";6.2;"Yellow";"FALSE";21.2;"really low ph"
161;19.82;15.96;"lakes";7.3;"Green_and_Chocolate";"TRUE";17.1;"intermediate ph"
162;19.95;10.67;"slowmovingwaters";7.8;"Yellow";"TRUE";4.8;"high ph"
163;6.18;10.32;"idlewater";7.2;"Calico";"TRUE";13.7;"intermediate ph"
164;10.36;2.08;"lakes";7.6;"Yellow";"FALSE";22.6;"high ph"
165;17.52;9.68;"ponds";7.0;"Yellow";"FALSE";17.9;"intermediate ph"
166;6.78;13.87;"slowmovingwaters";6.0;"White";"TRUE";24.3;"really low ph"
167;7.18;6.65;"ponds";6.1;"Red_and_Silver";"TRUE";26.5;"really low ph"
168;4.67;3.61;"idlewater";6.2;"Reddish_Orange";"TRUE";12.3;"really low ph"
169;18.26;17.97;"rivers";7.6;"Green_and_Chocolate";"TRUE";10.1;"high ph"
170;14.36;4.5;"lakes";7.1;"White";"FALSE";27.4;"intermediate ph"
171;16.78;5.34;"slowmovingwaters";7.9;"Red_and_Silver";"TRUE";12.5;"high ph"
172;3.24;15.09;"ponds";6.9;"Reddish_Orange";"TRUE";7.0;"low ph"
173;19.14;11.76;"ponds";6.6;"Reddish_Orange";"TRUE";25.0;"low ph"
174;11.97;4.48;"slowmovingwaters";7.5;"Red_and_Silver";"FALSE";13.8;"high ph"
175;18.48;15.48;"ponds";7.5;"Calico";"FALSE";18.6;"high ph"
176;6.55;9.78;"slowmovingwaters";7.3;"Green_and_Chocolate";"FALSE";10.2;"intermediate ph"
177;7.14;15.24;"slowmovingwaters";7.9;"White";"FALSE";10.1;"high ph"
178;10.22;6.25;"rivers";7.3;"Reddish_Orange";"TRUE";28.0;"intermediate ph"
179;17.73;14.09;"lakes";7.9;"Yellow";"FALSE";6.5;"high ph"
180;3.55;5.96;"rivers";6.5;"Calico";"TRUE";3.1;"low ph"
181;1.15;4.16;"slowmovingwaters";6.5;"Orange";"TRUE";26.7;"low ph"
182;6.11;7.41;"lakes";7.7;"Black_and_Orange";"FALSE";27.6;"high ph"
183;18.24;18.92;"lakes";6.7;"Green_and_Chocolate";"TRUE";16.8;"low ph"
184;11.77;12.75;"slowmovingwaters";7.3;"Reddish_Orange";"FALSE";12.6;"intermediate ph"
185;4.38;16.95;"ponds";6.7;"Calico";"TRUE";9.9;"low ph"
186;19.94;2.59;"lakes";7.8;"Red_and_White_Bi_Color";"TRUE";1.4;"high ph"
187;13.69;3.84;"idlewater";6.9;"Black_and_Orange";"TRUE";12.0;"low ph"
188;2.79;10.4;"lakes";6.0;"Black_and_Orange";"FALSE";15.9;"really low ph"
189;14.27;10.2;"slowmovingwaters";6.0;"Red_and_White_Bi_Color";"TRUE";21.6;"really low ph"
190;10.35;17.53;"slowmovingwaters";7.3;"Yellow";"TRUE";14.3;"intermediate ph"
191;11.11;9.51;"rivers";6.9;"Green_and_Chocolate";"FALSE";2.0;"low ph"
192;18.84;3.8;"rivers";7.8;"Calico";"TRUE";25.0;"high ph"
193;16.48;8.96;"ponds";7.0;"Calico";"TRUE";5.8;"intermediate ph"
194;4.06;6.37;"ponds";7.9;"Yellow";"TRUE";19.5;"high ph"
195;5.61;15.95;"rivers";6.6;"Yellow";"TRUE";1.2;"low ph"
196;15.75;16.82;"slowmovingwaters";6.7;"Calico";"FALSE";23.6;"low ph"
197;3.82;2.31;"slowmovingwaters";6.9;"Green_and_Chocolate";"TRUE";20.5;"low ph"
198;12.86;15.03;"ponds";7.8;"Red_and_White_Bi_Color";"TRUE";10.9;"high ph"
199;6.14;4.17;"ponds";7.7;"White";"FALSE";14.1;"high ph"
200;18.81;15.92;"lakes";6.5;"Red_and_White_Bi_Color";"FALSE";13.8;"low ph"
201;8.08;13.4;"slowmovingwaters";7.7;"Reddish_Orange";"TRUE";11.7;"high ph"
202;14.78;11.08;"rivers";6.3;"Orange";"TRUE";23.6;"really low ph"
203;16.26;13.14;"idlewater";6.5;"Calico";"FALSE";25.3;"low ph"
204;18.24;4.44;"rivers";7.0;"Reddish_Orange";"FALSE";21.6;"intermediate ph"
205;2.21;10.54;"rivers";6.5;"White";"FALSE";19.3;"low ph"
206;2.92;17.5;"idlewater";6.9;"Orange";"TRUE";6.2;"low ph"
207;2.08;9.07;"slowmovingwaters";7.1;"White";"FALSE";26.0;"intermediate ph"
208;2.5;17.46;"ponds";7.4;"Red_and_White_Bi_Color";"FALSE";17.1;"intermediate ph"
209;14.71;18.79;"rivers";7.8;"Red_and_Silver";"FALSE";7.6;"high ph"
210;6.5;17.26;"slowmovingwaters";7.9;"Orange";"TRUE";13.1;"high ph"
211;5.03;17.14;"lakes";6.3;"Orange";"FALSE";18.4;"really low ph"
212;2.83;12.48;"slowmovingwaters";7.6;"Orange";"TRUE";15.8;"high ph"
213;10.92;6.95;"idlewater";7.6;"Reddish_Orange";"TRUE";12.7;"high ph"
214;2.0;2.45;"lakes";7.3;"Green_and_Chocolate";"TRUE";20.9;"intermediate ph"
215;6.26;9.07;"ponds";7.0;"Reddish_Orange";"TRUE";6.5;"intermediate ph"
216;13.9;2.56;"slowmovingwaters";6.9;"Orange";"TRUE";10.6;"low ph"
217;4.93;18.23;"idlewater";7.8;"White";"TRUE";9.0;"high ph"
218;1.43;2.89;"rivers";6.0;"Yellow";"FALSE";26.2;"really low ph"
219;8.92;10.97;"idlewater";7.8;"Yellow";"TRUE";8.3;"high ph"
220;2.28;6.82;"slowmovingwaters";7.9;"Green_and_Chocolate";"FALSE";3.8;"high ph"
221;11.54;4.62;"slowmovingwaters";6.7;"Calico";"TRUE";9.4;"low ph"
222;12.35;15.21;"ponds";7.6;"Red_and_Silver";"TRUE";8.0;"high ph"
223;19.92;14.53;"rivers";7.6;"Yellow";"TRUE";7.6;"high ph"
224;14.42;14.24;"rivers";7.6;"White";"FALSE";20.3;"high ph"
225;13.9;11.33;"ponds";7.1;"Yellow";"FALSE";27.4;"intermediate ph"
226;12.91;2.7;"lakes";6.2;"Green_and_Chocolate";"FALSE";3.4;"really low ph"
227;17.9;6.12;"rivers";7.4;"Yellow";"FALSE";5.9;"intermediate ph"
228;1.28;13.74;"idlewater";7.6;"Yellow";"FALSE";7.8;"high ph"
229;16.62;11.78;"slowmovingwaters";6.7;"Calico";"TRUE";25.9;"low ph"
230;8.32;8.98;"lakes";7.0;"Orange";"FALSE";9.7;"intermediate ph"
231;14.54;14.2;"ponds";7.3;"Yellow";"FALSE";10.5;"intermediate ph"
232;14.41;9.18;"ponds";7.6;"Red_and_White_Bi_Color";"FALSE";19.1;"high ph"
233;16.84;13.75;"lakes";6.4;"Reddish_Orange";"FALSE";6.1;"really low ph"
234;11.93;13.82;"lakes";7.9;"Black_and_Orange";"FALSE";2.7;"high ph"
235;6.99;7.77;"rivers";6.8;"Orange";"TRUE";15.6;"low ph"
236;13.68;5.55;"idlewater";8.0;"Orange";"FALSE";3.4;"high ph"
237;19.81;16.47;"rivers";7.5;"Calico";"TRUE";2.3;"high ph"
238;4.15;2.9;"slowmovingwaters";6.6;"Calico";"FALSE";9.8;"low ph"
239;5.27;14.79;"lakes";6.7;"Orange";"TRUE";23.3;"low ph"
240;9.74;10.53;"rivers";6.8;"Calico";"FALSE";22.4;"low ph"
241;11.35;15.75;"lakes";6.7;"White";"FALSE";24.7;"low ph"
242;1.29;7.54;"idlewater";7.6;"Red_and_Silver";"FALSE";15.4;"high ph"
243;14.47;12.83;"idlewater";7.3;"Red_and_Silver";"FALSE";26.7;"intermediate ph"
244;2.02;5.65;"slowmovingwaters";6.6;"Orange";"FALSE";14.6;"low ph"
245;11.65;6.47;"ponds";7.6;"Orange";"TRUE";4.5;"high ph"
246;2.09;12.39;"slowmovingwaters";7.0;"Red_and_Silver";"TRUE";17.1;"intermediate ph"
247;6.89;8.27;"rivers";7.3;"White";"FALSE";7.9;"intermediate ph"
248;6.97;3.9;"ponds";7.5;"Green_and_Chocolate";"TRUE";24.3;"high ph"
249;17.3;17.87;"lakes";7.6;"Black_and_Orange";"FALSE";18.7;"high ph"
250;7.69;4.75;"lakes";7.6;"Red_and_White_Bi_Color";"FALSE";1.8;"high ph"
251;13.41;12.7;"ponds";7.2;"Yellow";"TRUE";21.2;"intermediate ph"
252;2.68;15.86;"rivers";6.2;"Black_and_Orange";"FALSE";4.0;"really low ph"
253;3.29;3.65;"slowmovingwaters";7.9;"Black_and_Orange";"FALSE";24.1;"high ph"
254;19.13;2.85;"lakes";6.1;"Red_and_White_Bi_Color";"FALSE";9.1;"really low ph"
255;15.11;17.01;"rivers";6.5;"Red_and_Silver";"TRUE";21.0;"low ph"
256;1.03;7.66;"idlewater";7.9;"Calico";"TRUE";26.1;"high ph"
257;11.3;6.61;"idlewater";6.3;"Orange";"FALSE";8.2;"really low ph"
258;4.94;4.83;"rivers";7.5;"Black_and_Orange";"FALSE";20.5;"high ph"
259;1.17;8.42;"ponds";7.8;"Yellow";"FALSE";6.0;"high ph"
260;11.31;11.4;"ponds";6.5;"Red_and_Silver";"FALSE";22.0;"low ph"
261;9.51;5.84;"idlewater";7.4;"Calico";"FALSE";27.0;"intermediate ph"
262;11.2;7.19;"ponds";6.8;"White";"TRUE";7.7;"low ph"
263;14.14;5.78;"slowmovingwaters";6.1;"Orange";"FALSE";22.9;"really low ph"
264;14.84;18.18;"slowmovingwaters";6.9;"Green_and_Chocolate";"TRUE";8.7;"low ph"
265;15.82;6.57;"ponds";7.6;"Green_and_Chocolate";"TRUE";11.7;"high ph"
266;19.49;7.46;"slowmovingwaters";7.2;"Reddish_Orange";"FALSE";27.2;"intermediate ph"
267;19.91;4.84;"slowmovingwaters";6.5;"White";"TRUE";7.7;"low ph"
268;13.76;7.21;"ponds";6.6;"White";"FALSE";25.3;"low ph"
269;3.68;10.16;"ponds";7.9;"Black_and_Orange";"TRUE";16.4;"high ph"
270;15.41;7.5;"idlewater";7.0;"Red_and_Silver";"FALSE";7.9;"intermediate ph"
271;12.03;2.42;"rivers";6.3;"Orange";"FALSE";12.4;"really low ph"
272;14.5;11.95;"slowmovingwaters";7.1;"Black_and_Orange";"FALSE";8.2;"intermediate ph"
273;1.35;14.66;"rivers";6.7;"Green_and_Chocolate";"FALSE";4.7;"low ph"
274;8.93;4.62;"rivers";6.1;"Red_and_Silver";"TRUE";27.3;"really low ph"
275;15.62;3.44;"idlewater";7.9;"Red_and_White_Bi_Color";"FALSE";19.1;"high ph"
276;16.5;16.36;"ponds";7.5;"White";"FALSE";20.0;"high ph"
277;14.58;15.53;"idlewater";6.9;"Red_and_White_Bi_Color";"TRUE";23.7;"low ph"
278;13.09;18.02;"rivers";7.8;"Black_and_Orange";"TRUE";21.6;"high ph"
279;18.85;7.33;"idlewater";6.7;"Orange";"TRUE";22.7;"low ph"
280;7.65;12.25;"idlewater";6.7;"Black_and_Orange";"TRUE";10.0;"low ph"
281;3.76;14.36;"rivers";7.6;"Black_and_Orange";"FALSE";8.3;"high ph"
282;9.63;12.12;"idlewater";7.5;"Orange";"TRUE";22.2;"high ph"
283;15.04;16.46;"slowmovingwaters";7.7;"Black_and_Orange";"FALSE";19.9;"high ph"
284;8.37;8.89;"slowmovingwaters";6.6;"Green_and_Chocolate";"TRUE";21.0;"low ph"
285;6.87;2.05;"lakes";6.9;"Orange";"FALSE";13.7;"low ph"
286;18.93;8.17;"ponds";7.9;"Red_and_White_Bi_Color";"FALSE";19.2;"high ph"
287;14.11;12.07;"slowmovingwaters";7.8;"Reddish_Orange";"TRUE";24.5;"high ph"
288;16.56;7.16;"rivers";7.9;"Orange";"FALSE";19.6;"high ph"
289;10.53;5.54;"lakes";6.1;"Yellow";"FALSE";23.0;"really low ph"
290;6.4;11.75;"slowmovingwaters";6.2;"Calico";"TRUE";20.5;"really low ph"
291;13.05;4.69;"slowmovingwaters";8.0;"Green_and_Chocolate";"FALSE";9.5;"high ph"
292;2.46;6.95;"slowmovingwaters";7.0;"Reddish_Orange";"TRUE";3.2;"intermediate ph"
293;7.42;11.97;"lakes";7.5;"Reddish_Orange";"TRUE";16.0;"high ph"
294;13.35;10.94;"ponds";7.6;"Orange";"FALSE";4.1;"high ph"
295;19.84;15.77;"ponds";7.6;"Red_and_White_Bi_Color";"FALSE";8.2;"high ph"
296;4.47;5.46;"idlewater";7.5;"Red_and_Silver";"TRUE";10.3;"high ph"
297;11.89;6.81;"idlewater";6.2;"Black_and_Orange";"TRUE";18.8;"really low ph"
298;17.46;7.03;"slowmovingwaters";6.4;"White";"TRUE";3.4;"really low ph"
299;13.15;18.59;"rivers";6.2;"Yellow";"FALSE";19.6;"really low ph"
300;17.76;12.44;"ponds";6.4;"Orange";"TRUE";8.1;"really low ph"
301;1.93;17.39;"slowmovingwaters";6.9;"Red_and_Silver";"FALSE";15.9;"low ph"
302;17.6;9.46;"idlewater";6.4;"Reddish_Orange";"TRUE";14.5;"really low ph"
303;6.46;13.79;"slowmovingwaters";7.3;"Reddish_Orange";"TRUE";9.4;"intermediate ph"
304;11.33;13.73;"lakes";6.1;"Black_and_Orange";"TRUE";6.0;"really low ph"
305;8.03;8.41;"rivers";7.9;"Orange";"TRUE";14.5;"high ph"
