"id";"average_length_inches";"average_weight_inches";"habitat";"ph_of_water";"color";"Gender";"life_span";"weight"
87;10.95;10.1;"rivers";7.1;"Red_and_White_Bi_Color";"TRUE";25.6;"intermediate"
88;2.64;6.22;"ponds";7.7;"Red_and_Silver";"FALSE";25.9;"low"
89;6.32;10.15;"lakes";7.3;"Reddish_Orange";"FALSE";18.5;"intermediate"
90;1.11;13.61;"idlewater";6.8;"Green_and_Chocolate";"FALSE";5.5;"intermediate"
91;1.24;17.02;"slowmovingwaters";7.2;"Reddish_Orange";"FALSE";9.4;"high"
92;10.91;8.94;"rivers";6.6;"Calico";"TRUE";21.7;"low"
93;14.42;10.69;"ponds";7.8;"Red_and_Silver";"TRUE";11.4;"intermediate"
94;13.68;3.48;"slowmovingwaters";7.5;"Red_and_Silver";"TRUE";22.8;"really low"
95;7.17;2.19;"slowmovingwaters";6.3;"Red_and_Silver";"FALSE";14.6;"really low"
96;10.7;2.84;"ponds";7.7;"Orange";"TRUE";2.8;"really low"
97;8.38;9.06;"slowmovingwaters";7.9;"Reddish_Orange";"FALSE";24.5;"low"
98;3.0;2.78;"lakes";6.8;"Red_and_White_Bi_Color";"FALSE";9.9;"really low"
99;10.83;8.2;"rivers";7.8;"Orange";"TRUE";27.2;"low"
100;4.43;3.89;"rivers";6.6;"Orange";"TRUE";12.9;"really low"
101;7.66;15.9;"idlewater";6.6;"Red_and_Silver";"FALSE";9.8;"high"
102;6.01;6.09;"ponds";7.3;"Green_and_Chocolate";"FALSE";12.3;"low"
103;5.4;9.31;"slowmovingwaters";6.7;"Calico";"FALSE";4.9;"low"
104;12.69;12.82;"ponds";7.3;"Red_and_Silver";"FALSE";21.4;"intermediate"
105;13.56;11.39;"slowmovingwaters";6.8;"Red_and_White_Bi_Color";"FALSE";8.4;"intermediate"
106;15.42;13.9;"lakes";7.1;"Red_and_Silver";"FALSE";5.8;"intermediate"
107;10.3;3.6;"lakes";6.5;"Orange";"TRUE";8.6;"really low"
108;11.42;8.98;"rivers";7.6;"Orange";"TRUE";10.1;"low"
109;5.93;6.65;"slowmovingwaters";6.5;"Red_and_White_Bi_Color";"TRUE";10.7;"low"
110;6.84;15.89;"lakes";6.5;"Yellow";"TRUE";18.3;"high"
111;17.79;18.24;"slowmovingwaters";6.3;"Green_and_Chocolate";"FALSE";22.6;"high"
112;9.88;15.54;"rivers";6.4;"Yellow";"TRUE";11.7;"high"
113;14.08;17.34;"idlewater";7.9;"Red_and_Silver";"TRUE";7.3;"high"
114;6.37;3.63;"ponds";7.1;"White";"TRUE";5.2;"really low"
115;5.44;3.71;"idlewater";7.5;"Green_and_Chocolate";"FALSE";8.3;"really low"
116;4.3;7.57;"ponds";6.4;"Yellow";"TRUE";24.0;"low"
117;15.76;15.6;"lakes";6.4;"White";"FALSE";3.2;"high"
118;11.39;13.56;"idlewater";7.2;"White";"FALSE";18.0;"intermediate"
119;3.85;5.3;"slowmovingwaters";7.4;"Red_and_Silver";"TRUE";7.0;"low"
120;11.3;3.82;"lakes";6.8;"Black_and_Orange";"FALSE";3.8;"really low"
121;2.94;2.37;"lakes";6.3;"Red_and_White_Bi_Color";"TRUE";6.8;"really low"
122;12.22;16.04;"lakes";6.4;"White";"FALSE";8.5;"high"
123;8.32;15.88;"idlewater";6.1;"White";"FALSE";26.1;"high"
124;18.91;7.38;"rivers";7.4;"Red_and_Silver";"FALSE";10.6;"low"
125;16.25;2.79;"ponds";7.1;"Calico";"TRUE";18.8;"really low"
126;13.82;15.55;"lakes";7.5;"Reddish_Orange";"FALSE";12.7;"high"
127;5.12;4.04;"idlewater";7.6;"Red_and_Silver";"FALSE";3.0;"really low"
128;5.04;6.73;"slowmovingwaters";7.6;"Reddish_Orange";"FALSE";27.2;"low"
129;19.56;8.12;"rivers";6.4;"Orange";"FALSE";1.8;"low"
130;9.28;2.99;"rivers";6.3;"Green_and_Chocolate";"TRUE";17.4;"really low"
131;16.43;8.02;"lakes";6.9;"Calico";"TRUE";11.0;"low"
132;13.97;9.2;"idlewater";6.2;"Yellow";"FALSE";8.3;"low"
133;11.19;3.52;"lakes";7.1;"Red_and_Silver";"TRUE";2.4;"really low"
134;12.99;9.61;"lakes";6.8;"Reddish_Orange";"TRUE";6.4;"low"
135;1.41;7.07;"ponds";7.3;"Red_and_White_Bi_Color";"TRUE";26.3;"low"
136;15.4;8.39;"ponds";7.4;"Red_and_Silver";"TRUE";16.9;"low"
137;1.88;13.08;"slowmovingwaters";7.4;"Black_and_Orange";"TRUE";14.9;"intermediate"
138;3.01;12.28;"idlewater";7.8;"Red_and_Silver";"FALSE";26.1;"intermediate"
139;16.87;9.76;"ponds";6.1;"Red_and_Silver";"FALSE";15.0;"low"
140;6.82;18.05;"idlewater";6.8;"Red_and_White_Bi_Color";"TRUE";16.4;"high"
141;11.76;6.98;"lakes";6.5;"Calico";"TRUE";1.3;"low"
142;2.06;6.99;"rivers";7.5;"White";"FALSE";14.7;"low"
143;3.84;14.7;"lakes";7.4;"White";"FALSE";4.2;"intermediate"
144;7.72;16.67;"rivers";7.8;"Red_and_White_Bi_Color";"TRUE";27.8;"high"
145;12.29;9.68;"ponds";7.1;"Black_and_Orange";"FALSE";26.2;"low"
146;6.19;3.64;"ponds";6.0;"Yellow";"FALSE";4.1;"really low"
147;4.49;4.54;"lakes";6.4;"Red_and_White_Bi_Color";"TRUE";15.3;"really low"
148;19.19;4.34;"slowmovingwaters";7.2;"Green_and_Chocolate";"TRUE";16.7;"really low"
149;13.33;5.12;"rivers";7.8;"Orange";"TRUE";12.8;"low"
150;9.57;16.07;"rivers";6.7;"Reddish_Orange";"TRUE";20.2;"high"
151;6.61;11.51;"slowmovingwaters";7.9;"Reddish_Orange";"TRUE";13.8;"intermediate"
152;10.81;7.21;"ponds";7.4;"White";"TRUE";22.0;"low"
153;9.1;10.47;"idlewater";7.3;"Green_and_Chocolate";"TRUE";23.8;"intermediate"
154;14.77;11.87;"idlewater";6.4;"Orange";"TRUE";21.6;"intermediate"
155;11.32;2.24;"rivers";6.3;"Yellow";"TRUE";14.2;"really low"
156;8.39;5.8;"idlewater";7.1;"Black_and_Orange";"TRUE";2.8;"low"
157;18.28;9.49;"lakes";7.1;"Yellow";"TRUE";27.5;"low"
158;3.71;3.36;"ponds";6.1;"Red_and_Silver";"FALSE";26.3;"really low"
159;16.01;4.24;"idlewater";7.3;"White";"FALSE";18.0;"really low"
160;12.19;13.74;"idlewater";6.2;"Yellow";"FALSE";21.2;"intermediate"
161;19.82;15.96;"lakes";7.3;"Green_and_Chocolate";"TRUE";17.1;"high"
162;19.95;10.67;"slowmovingwaters";7.8;"Yellow";"TRUE";4.8;"intermediate"
163;6.18;10.32;"idlewater";7.2;"Calico";"TRUE";13.7;"intermediate"
164;10.36;2.08;"lakes";7.6;"Yellow";"FALSE";22.6;"really low"
165;17.52;9.68;"ponds";7.0;"Yellow";"FALSE";17.9;"low"
166;6.78;13.87;"slowmovingwaters";6.0;"White";"TRUE";24.3;"intermediate"
167;7.18;6.65;"ponds";6.1;"Red_and_Silver";"TRUE";26.5;"low"
168;4.67;3.61;"idlewater";6.2;"Reddish_Orange";"TRUE";12.3;"really low"
169;18.26;17.97;"rivers";7.6;"Green_and_Chocolate";"TRUE";10.1;"high"
170;14.36;4.5;"lakes";7.1;"White";"FALSE";27.4;"really low"
171;16.78;5.34;"slowmovingwaters";7.9;"Red_and_Silver";"TRUE";12.5;"low"
172;3.24;15.09;"ponds";6.9;"Reddish_Orange";"TRUE";7.0;"high"
173;19.14;11.76;"ponds";6.6;"Reddish_Orange";"TRUE";25.0;"intermediate"
174;11.97;4.48;"slowmovingwaters";7.5;"Red_and_Silver";"FALSE";13.8;"really low"
175;18.48;15.48;"ponds";7.5;"Calico";"FALSE";18.6;"high"
176;6.55;9.78;"slowmovingwaters";7.3;"Green_and_Chocolate";"FALSE";10.2;"low"
177;7.14;15.24;"slowmovingwaters";7.9;"White";"FALSE";10.1;"high"
178;10.22;6.25;"rivers";7.3;"Reddish_Orange";"TRUE";28.0;"low"
179;17.73;14.09;"lakes";7.9;"Yellow";"FALSE";6.5;"intermediate"
180;3.55;5.96;"rivers";6.5;"Calico";"TRUE";3.1;"low"
181;1.15;4.16;"slowmovingwaters";6.5;"Orange";"TRUE";26.7;"really low"
182;6.11;7.41;"lakes";7.7;"Black_and_Orange";"FALSE";27.6;"low"
183;18.24;18.92;"lakes";6.7;"Green_and_Chocolate";"TRUE";16.8;"high"
184;11.77;12.75;"slowmovingwaters";7.3;"Reddish_Orange";"FALSE";12.6;"intermediate"
185;4.38;16.95;"ponds";6.7;"Calico";"TRUE";9.9;"high"
186;19.94;2.59;"lakes";7.8;"Red_and_White_Bi_Color";"TRUE";1.4;"really low"
187;13.69;3.84;"idlewater";6.9;"Black_and_Orange";"TRUE";12.0;"really low"
188;2.79;10.4;"lakes";6.0;"Black_and_Orange";"FALSE";15.9;"intermediate"
189;14.27;10.2;"slowmovingwaters";6.0;"Red_and_White_Bi_Color";"TRUE";21.6;"intermediate"
190;10.35;17.53;"slowmovingwaters";7.3;"Yellow";"TRUE";14.3;"high"
191;11.11;9.51;"rivers";6.9;"Green_and_Chocolate";"FALSE";2.0;"low"
192;18.84;3.8;"rivers";7.8;"Calico";"TRUE";25.0;"really low"
193;16.48;8.96;"ponds";7.0;"Calico";"TRUE";5.8;"low"
194;4.06;6.37;"ponds";7.9;"Yellow";"TRUE";19.5;"low"
195;5.61;15.95;"rivers";6.6;"Yellow";"TRUE";1.2;"high"
196;15.75;16.82;"slowmovingwaters";6.7;"Calico";"FALSE";23.6;"high"
197;3.82;2.31;"slowmovingwaters";6.9;"Green_and_Chocolate";"TRUE";20.5;"really low"
198;12.86;15.03;"ponds";7.8;"Red_and_White_Bi_Color";"TRUE";10.9;"high"
199;6.14;4.17;"ponds";7.7;"White";"FALSE";14.1;"really low"
200;18.81;15.92;"lakes";6.5;"Red_and_White_Bi_Color";"FALSE";13.8;"high"
201;8.08;13.4;"slowmovingwaters";7.7;"Reddish_Orange";"TRUE";11.7;"intermediate"
202;14.78;11.08;"rivers";6.3;"Orange";"TRUE";23.6;"intermediate"
203;16.26;13.14;"idlewater";6.5;"Calico";"FALSE";25.3;"intermediate"
204;18.24;4.44;"rivers";7.0;"Reddish_Orange";"FALSE";21.6;"really low"
205;2.21;10.54;"rivers";6.5;"White";"FALSE";19.3;"intermediate"
206;2.92;17.5;"idlewater";6.9;"Orange";"TRUE";6.2;"high"
207;2.08;9.07;"slowmovingwaters";7.1;"White";"FALSE";26.0;"low"
208;2.5;17.46;"ponds";7.4;"Red_and_White_Bi_Color";"FALSE";17.1;"high"
209;14.71;18.79;"rivers";7.8;"Red_and_Silver";"FALSE";7.6;"high"
210;6.5;17.26;"slowmovingwaters";7.9;"Orange";"TRUE";13.1;"high"
211;5.03;17.14;"lakes";6.3;"Orange";"FALSE";18.4;"high"
212;2.83;12.48;"slowmovingwaters";7.6;"Orange";"TRUE";15.8;"intermediate"
213;10.92;6.95;"idlewater";7.6;"Reddish_Orange";"TRUE";12.7;"low"
214;2.0;2.45;"lakes";7.3;"Green_and_Chocolate";"TRUE";20.9;"really low"
215;6.26;9.07;"ponds";7.0;"Reddish_Orange";"TRUE";6.5;"low"
216;13.9;2.56;"slowmovingwaters";6.9;"Orange";"TRUE";10.6;"really low"
217;4.93;18.23;"idlewater";7.8;"White";"TRUE";9.0;"high"
218;1.43;2.89;"rivers";6.0;"Yellow";"FALSE";26.2;"really low"
219;8.92;10.97;"idlewater";7.8;"Yellow";"TRUE";8.3;"intermediate"
220;2.28;6.82;"slowmovingwaters";7.9;"Green_and_Chocolate";"FALSE";3.8;"low"
221;11.54;4.62;"slowmovingwaters";6.7;"Calico";"TRUE";9.4;"really low"
222;12.35;15.21;"ponds";7.6;"Red_and_Silver";"TRUE";8.0;"high"
223;19.92;14.53;"rivers";7.6;"Yellow";"TRUE";7.6;"intermediate"
224;14.42;14.24;"rivers";7.6;"White";"FALSE";20.3;"intermediate"
225;13.9;11.33;"ponds";7.1;"Yellow";"FALSE";27.4;"intermediate"
226;12.91;2.7;"lakes";6.2;"Green_and_Chocolate";"FALSE";3.4;"really low"
227;17.9;6.12;"rivers";7.4;"Yellow";"FALSE";5.9;"low"
228;1.28;13.74;"idlewater";7.6;"Yellow";"FALSE";7.8;"intermediate"
229;16.62;11.78;"slowmovingwaters";6.7;"Calico";"TRUE";25.9;"intermediate"
230;8.32;8.98;"lakes";7.0;"Orange";"FALSE";9.7;"low"
231;14.54;14.2;"ponds";7.3;"Yellow";"FALSE";10.5;"intermediate"
232;14.41;9.18;"ponds";7.6;"Red_and_White_Bi_Color";"FALSE";19.1;"low"
233;16.84;13.75;"lakes";6.4;"Reddish_Orange";"FALSE";6.1;"intermediate"
234;11.93;13.82;"lakes";7.9;"Black_and_Orange";"FALSE";2.7;"intermediate"
235;6.99;7.77;"rivers";6.8;"Orange";"TRUE";15.6;"low"
236;13.68;5.55;"idlewater";8.0;"Orange";"FALSE";3.4;"low"
237;19.81;16.47;"rivers";7.5;"Calico";"TRUE";2.3;"high"
238;4.15;2.9;"slowmovingwaters";6.6;"Calico";"FALSE";9.8;"really low"
239;5.27;14.79;"lakes";6.7;"Orange";"TRUE";23.3;"intermediate"
240;9.74;10.53;"rivers";6.8;"Calico";"FALSE";22.4;"intermediate"
241;11.35;15.75;"lakes";6.7;"White";"FALSE";24.7;"high"
242;1.29;7.54;"idlewater";7.6;"Red_and_Silver";"FALSE";15.4;"low"
243;14.47;12.83;"idlewater";7.3;"Red_and_Silver";"FALSE";26.7;"intermediate"
244;2.02;5.65;"slowmovingwaters";6.6;"Orange";"FALSE";14.6;"low"
245;11.65;6.47;"ponds";7.6;"Orange";"TRUE";4.5;"low"
246;2.09;12.39;"slowmovingwaters";7.0;"Red_and_Silver";"TRUE";17.1;"intermediate"
247;6.89;8.27;"rivers";7.3;"White";"FALSE";7.9;"low"
248;6.97;3.9;"ponds";7.5;"Green_and_Chocolate";"TRUE";24.3;"really low"
249;17.3;17.87;"lakes";7.6;"Black_and_Orange";"FALSE";18.7;"high"
250;7.69;4.75;"lakes";7.6;"Red_and_White_Bi_Color";"FALSE";1.8;"really low"
251;13.41;12.7;"ponds";7.2;"Yellow";"TRUE";21.2;"intermediate"
252;2.68;15.86;"rivers";6.2;"Black_and_Orange";"FALSE";4.0;"high"
253;3.29;3.65;"slowmovingwaters";7.9;"Black_and_Orange";"FALSE";24.1;"really low"
254;19.13;2.85;"lakes";6.1;"Red_and_White_Bi_Color";"FALSE";9.1;"really low"
255;15.11;17.01;"rivers";6.5;"Red_and_Silver";"TRUE";21.0;"high"
256;1.03;7.66;"idlewater";7.9;"Calico";"TRUE";26.1;"low"
257;11.3;6.61;"idlewater";6.3;"Orange";"FALSE";8.2;"low"
258;4.94;4.83;"rivers";7.5;"Black_and_Orange";"FALSE";20.5;"really low"
259;1.17;8.42;"ponds";7.8;"Yellow";"FALSE";6.0;"low"
260;11.31;11.4;"ponds";6.5;"Red_and_Silver";"FALSE";22.0;"intermediate"
261;9.51;5.84;"idlewater";7.4;"Calico";"FALSE";27.0;"low"
262;11.2;7.19;"ponds";6.8;"White";"TRUE";7.7;"low"
263;14.14;5.78;"slowmovingwaters";6.1;"Orange";"FALSE";22.9;"low"
264;14.84;18.18;"slowmovingwaters";6.9;"Green_and_Chocolate";"TRUE";8.7;"high"
265;15.82;6.57;"ponds";7.6;"Green_and_Chocolate";"TRUE";11.7;"low"
266;19.49;7.46;"slowmovingwaters";7.2;"Reddish_Orange";"FALSE";27.2;"low"
267;19.91;4.84;"slowmovingwaters";6.5;"White";"TRUE";7.7;"really low"
268;13.76;7.21;"ponds";6.6;"White";"FALSE";25.3;"low"
269;3.68;10.16;"ponds";7.9;"Black_and_Orange";"TRUE";16.4;"intermediate"
270;15.41;7.5;"idlewater";7.0;"Red_and_Silver";"FALSE";7.9;"low"
271;12.03;2.42;"rivers";6.3;"Orange";"FALSE";12.4;"really low"
272;14.5;11.95;"slowmovingwaters";7.1;"Black_and_Orange";"FALSE";8.2;"intermediate"
273;1.35;14.66;"rivers";6.7;"Green_and_Chocolate";"FALSE";4.7;"intermediate"
274;8.93;4.62;"rivers";6.1;"Red_and_Silver";"TRUE";27.3;"really low"
275;15.62;3.44;"idlewater";7.9;"Red_and_White_Bi_Color";"FALSE";19.1;"really low"
276;16.5;16.36;"ponds";7.5;"White";"FALSE";20.0;"high"
277;14.58;15.53;"idlewater";6.9;"Red_and_White_Bi_Color";"TRUE";23.7;"high"
278;13.09;18.02;"rivers";7.8;"Black_and_Orange";"TRUE";21.6;"high"
279;18.85;7.33;"idlewater";6.7;"Orange";"TRUE";22.7;"low"
280;7.65;12.25;"idlewater";6.7;"Black_and_Orange";"TRUE";10.0;"intermediate"
281;3.76;14.36;"rivers";7.6;"Black_and_Orange";"FALSE";8.3;"intermediate"
282;9.63;12.12;"idlewater";7.5;"Orange";"TRUE";22.2;"intermediate"
283;15.04;16.46;"slowmovingwaters";7.7;"Black_and_Orange";"FALSE";19.9;"high"
284;8.37;8.89;"slowmovingwaters";6.6;"Green_and_Chocolate";"TRUE";21.0;"low"
285;6.87;2.05;"lakes";6.9;"Orange";"FALSE";13.7;"really low"
286;18.93;8.17;"ponds";7.9;"Red_and_White_Bi_Color";"FALSE";19.2;"low"
287;14.11;12.07;"slowmovingwaters";7.8;"Reddish_Orange";"TRUE";24.5;"intermediate"
288;16.56;7.16;"rivers";7.9;"Orange";"FALSE";19.6;"low"
289;10.53;5.54;"lakes";6.1;"Yellow";"FALSE";23.0;"low"
290;6.4;11.75;"slowmovingwaters";6.2;"Calico";"TRUE";20.5;"intermediate"
291;13.05;4.69;"slowmovingwaters";8.0;"Green_and_Chocolate";"FALSE";9.5;"really low"
292;2.46;6.95;"slowmovingwaters";7.0;"Reddish_Orange";"TRUE";3.2;"low"
293;7.42;11.97;"lakes";7.5;"Reddish_Orange";"TRUE";16.0;"intermediate"
294;13.35;10.94;"ponds";7.6;"Orange";"FALSE";4.1;"intermediate"
295;19.84;15.77;"ponds";7.6;"Red_and_White_Bi_Color";"FALSE";8.2;"high"
296;4.47;5.46;"idlewater";7.5;"Red_and_Silver";"TRUE";10.3;"low"
297;11.89;6.81;"idlewater";6.2;"Black_and_Orange";"TRUE";18.8;"low"
298;17.46;7.03;"slowmovingwaters";6.4;"White";"TRUE";3.4;"low"
299;13.15;18.59;"rivers";6.2;"Yellow";"FALSE";19.6;"high"
300;17.76;12.44;"ponds";6.4;"Orange";"TRUE";8.1;"intermediate"
301;1.93;17.39;"slowmovingwaters";6.9;"Red_and_Silver";"FALSE";15.9;"high"
302;17.6;9.46;"idlewater";6.4;"Reddish_Orange";"TRUE";14.5;"low"
303;6.46;13.79;"slowmovingwaters";7.3;"Reddish_Orange";"TRUE";9.4;"intermediate"
304;11.33;13.73;"lakes";6.1;"Black_and_Orange";"TRUE";6.0;"intermediate"
305;8.03;8.41;"rivers";7.9;"Orange";"TRUE";14.5;"low"
306;3.3;9.84;"lakes";6.9;"Red_and_White_Bi_Color";"FALSE";10.6;"low"
307;5.96;4.92;"slowmovingwaters";6.9;"Green_and_Chocolate";"FALSE";11.0;"really low"
308;9.16;13.57;"ponds";6.7;"Yellow";"FALSE";26.3;"intermediate"
309;18.17;5.25;"idlewater";7.8;"White";"TRUE";3.7;"low"
310;5.36;9.65;"idlewater";6.2;"Red_and_Silver";"FALSE";6.6;"low"
311;10.16;9.2;"lakes";7.8;"Calico";"TRUE";9.8;"low"
312;19.43;2.51;"lakes";6.6;"Orange";"TRUE";9.8;"really low"
313;19.27;15.47;"ponds";6.8;"Red_and_Silver";"FALSE";3.8;"high"
314;6.28;15.78;"idlewater";7.0;"Red_and_White_Bi_Color";"FALSE";14.3;"high"
315;18.68;2.01;"idlewater";6.3;"White";"FALSE";23.7;"really low"
316;7.05;14.29;"rivers";6.4;"Reddish_Orange";"TRUE";14.4;"intermediate"
317;7.48;4.94;"slowmovingwaters";7.8;"Green_and_Chocolate";"TRUE";12.4;"really low"
318;12.48;3.62;"idlewater";7.7;"Red_and_White_Bi_Color";"TRUE";22.8;"really low"
